freq,wst_oper,material,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DSP_I,MF4,THS_T,AT	259 s	156 s	52 s	156 s	156 s	156 s	156 s	156 s	156 s	156 s	156 s	156 s	156 s
A,DSP_I,MF4,THS_T,BE	295 s	382 s	470 s	401 s	332 s	284 s	237 s	262 s	287 s	205 s	123 s	177 s	170 s
A,DSP_I,MF4,THS_T,BG	0 s	1 s	1 s	2 s	3 s	2 s	1 s	1 s	1 s	5 s	8 s	5 s	6 s
A,DSP_I,MF4,THS_T,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,THS_T,CZ	23 s	29 s	34 s	36 s	37 s	38 s	39 s	42 s	46 s	44 s	42 s	49 s	50 s
A,DSP_I,MF4,THS_T,DE	2183 s	2027 s	1872 s	1667 s	1462 s	1162 s	862 s	674 s	486 s	523 s	559 s	452 s	443 s
A,DSP_I,MF4,THS_T,DK	0 s	1 s	2 s	2 s	2 s	2 s	2 s	2 s	2 s	1 s	0 s	2 s	2 s
A,DSP_I,MF4,THS_T,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,THS_T,EL	1 s	1 s	1 s	1 s	1 s	1 s	2 s	2 s	1 s	1 s	1 s	2 s	2 s
A,DSP_I,MF4,THS_T,ES	41 s	21 s	1 s	2 s	3 s	3 s	2 s	25 s	48 s	51 s	54 s	47 s	52 s
A,DSP_I,MF4,THS_T,EU27_2020	6434 s	5945 s	5457 s	5102 s	4644 s	4001 s	3357 s	3109 s	2861 s	2673 s	2484 s	2277 s	2159 s
A,DSP_I,MF4,THS_T,FI	100 s	100 s	100 s	115 s	130 s	77 s	23 s	32 s	41 s	55 s	69 s	40 s	38 s
A,DSP_I,MF4,THS_T,FR	1678 s	1632 s	1586 s	1457 s	1327 s	1235 s	1143 s	1078 s	1013 s	962 s	911 s	774 s	691 s
A,DSP_I,MF4,THS_T,HR	3 s	2 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,THS_T,HU	48 s	52 s	56 s	57 s	58 s	53 s	49 s	49 s	49 s	49 s	49 s	49 s	48 s
A,DSP_I,MF4,THS_T,IE	20 s	16 s	13 s	13 s	13 s	10 s	7 s	7 s	7 s	8 s	9 s	5 s	3 s
A,DSP_I,MF4,THS_T,IT	891 s	821 s	752 s	725 s	698 s	553 s	408 s	336 s	263 s	211 s	159 s	147 s	134 s
A,DSP_I,MF4,THS_T,LT	1 s	1 s	0 s	1 s	1 s	1 s	0 s	0 s	0 s	1 s	1 s	1 s	1 s
A,DSP_I,MF4,THS_T,LU	19 s	20 s	20 s	10 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,THS_T,NL	684 s	527 s	371 s	291 s	211 s	214 s	217 s	233 s	250 s	223 s	196 s	175 s	161 s
A,DSP_I,MF4,THS_T,PL	57 s	56 s	54 s	78 s	101 s	86 s	72 s	79 s	86 s	74 s	63 s	83 s	84 s
A,DSP_I,MF4,THS_T,PT	9 s	9 s	9 s	10 s	10 s	11 s	11 s	14 s	16 s	16 s	17 s	17 s	18 s
A,DSP_I,MF4,THS_T,RO	42 s	30 s	18 s	18 s	18 s	20 s	21 s	19 s	17 s	17 s	17 s	14 s	13 s
A,DSP_I,MF4,THS_T,SE	51 s	37 s	24 s	43 s	63 s	76 s	89 s	83 s	76 s	58 s	40 s	74 s	77 s
A,DSP_I,MF4,THS_T,SI	14 s	12 s	10 s	10 s	9 s	9 s	10 s	9 s	8 s	7 s	7 s	6 s	6 s
A,DSP_I,MF4,THS_T,SK	15 s	12 s	9 s	9 s	8 s	7 s	6 s	7 s	7 s	5 s	3 s	3 s	3 s
A,DSP_I,MF4,T_HAB,AT	0.031 s	0.019 s	0.006 s	0.018 s	0.018 s	0.018 s	0.018 s	0.018 s	0.018 s	0.018 s	0.017 s	0.017 s	0.017 s
A,DSP_I,MF4,T_HAB,BE	0.027 s	0.035 s	0.042 s	0.036 s	0.03 s	0.025 s	0.021 s	0.023 s	0.025 s	0.018 s	0.011 s	0.015 s	0.015 s
A,DSP_I,MF4,T_HAB,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF4,T_HAB,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,T_HAB,CZ	0.002 s	0.003 s	0.003 s	0.003 s	0.004 s	0.004 s	0.004 s	0.004 s	0.004 s	0.004 s	0.004 s	0.005 s	0.005 s
A,DSP_I,MF4,T_HAB,DE	0.027 s	0.025 s	0.023 s	0.021 s	0.018 s	0.014 s	0.01 s	0.008 s	0.006 s	0.006 s	0.007 s	0.005 s	0.005 s
A,DSP_I,MF4,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,T_HAB,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,T_HAB,ES	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF4,T_HAB,EU27_2020	0.015 s	0.014 s	0.012 s	0.012 s	0.01 s	0.009 s	0.008 s	0.007 s	0.006 s	0.006 s	0.006 s	0.005 s	0.005 s
A,DSP_I,MF4,T_HAB,FI	0.019 s	0.019 s	0.019 s	0.021 s	0.024 s	0.014 s	0.004 s	0.006 s	0.007 s	0.01 s	0.012 s	0.007 s	0.007 s
A,DSP_I,MF4,T_HAB,FR	0.026 s	0.025 s	0.024 s	0.022 s	0.02 s	0.019 s	0.017 s	0.016 s	0.015 s	0.014 s	0.013 s	0.011 s	0.01 s
A,DSP_I,MF4,T_HAB,HR	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,T_HAB,HU	0.005 s	0.005 s	0.006 s	0.006 s	0.006 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s
A,DSP_I,MF4,T_HAB,IE	0.004 s	0.004 s	0.003 s	0.003 s	0.003 s	0.002 s	0.002 s	0.001 s	0.001 s	0.002 s	0.002 s	0.001 s	0.001 s
A,DSP_I,MF4,T_HAB,IT	0.015 s	0.014 s	0.013 s	0.012 s	0.011 s	0.009 s	0.007 s	0.006 s	0.004 s	0.004 s	0.003 s	0.002 s	0.002 s
A,DSP_I,MF4,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,T_HAB,LU	0.038 s	0.038 s	0.038 s	0.019 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,T_HAB,MT	0.001 s	0.001 s	0.001 s	0.001 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF4,T_HAB,NL	0.041 s	0.032 s	0.022 s	0.017 s	0.013 s	0.013 s	0.013 s	0.014 s	0.014 s	0.013 s	0.011 s	0.01 s	0.009 s
A,DSP_I,MF4,T_HAB,PL	0.001 s	0.001 s	0.001 s	0.002 s	0.003 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s
A,DSP_I,MF4,T_HAB,PT	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.002 s	0.002 s	0.002 s	0.002 s	0.002 s
A,DSP_I,MF4,T_HAB,RO	0.002 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF4,T_HAB,SE	0.005 s	0.004 s	0.002 s	0.004 s	0.006 s	0.008 s	0.009 s	0.008 s	0.007 s	0.006 s	0.004 s	0.007 s	0.007 s
A,DSP_I,MF4,T_HAB,SI	0.007 s	0.006 s	0.005 s	0.005 s	0.005 s	0.005 s	0.005 s	0.004 s	0.004 s	0.003 s	0.003 s	0.003 s	0.003 s
A,DSP_I,MF4,T_HAB,SK	0.003 s	0.002 s	0.002 s	0.002 s	0.002 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s	0.001 s
A,DSP_I,MF5,THS_T,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,THS_T,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF5,T_HAB,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,THS_T,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,AT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,BE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,BG	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,CY	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,CZ	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,DE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,DK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,EE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,EL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,ES	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,EU27_2020	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,FI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,FR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,HR	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,HU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,IE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,IT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,LT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,LU	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,LV	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,MT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,NL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,PL	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,PT	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,RO	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,SE	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,SI	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,MF6,T_HAB,SK	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s	0 s
A,DSP_I,TOTAL,THS_T,AT	1301 	686 s	71 	686 s	686 s	686 s	686 s	686 s	686 s	686 s	686 s	686 s	686 s
A,DSP_I,TOTAL,THS_T,BE	1618 	1933 s	2248 	1706 s	1163 	996 s	829 	797 s	766 	548 s	330 	370 s	358 s
A,DSP_I,TOTAL,THS_T,BG	2 	8 s	14 	17 s	19 	15 s	11 	8 s	4 	52 s	99 	57 s	63 s
A,DSP_I,TOTAL,THS_T,CY	7 	7 s	7 	3 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_I,TOTAL,THS_T,CZ	53 	63 s	74 	75 s	76 	77 s	78 	85 s	92 b	88 s	83 	96 s	100 s
A,DSP_I,TOTAL,THS_T,DE	10430 	9676 s	8922 	7633 s	6343 	4838 s	3332 	2473 s	1614 	1634 s	1653 	1350 s	1348 s
A,DSP_I,TOTAL,THS_T,DK	0 	1 s	3 	3 s	3 	3 s	3 	4 s	5 	3 s	1 	4 s	4 s
A,DSP_I,TOTAL,THS_T,EE	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_I,TOTAL,THS_T,EL	21 	21 s	21 	21 s	22 	15 s	7 	7 s	7 	7 s	7 p	4 s	4 s
A,DSP_I,TOTAL,THS_T,ES	412 	209 s	7 	7 s	7 	10 s	13 	85 s	156 	126 s	96 	113 s	123 s
A,DSP_I,TOTAL,THS_T,EU27_2020	29991 	27237 s	24483 	22450 s	19803 s	16616 s	13428 s	11644 s	9858 s	9340 s	8817 s	7651 s	7175 s
A,DSP_I,TOTAL,THS_T,FI	359 	395 s	430 	451 s	471 	257 s	43 	57 s	70 	97 s	124 	65 s	62 s
A,DSP_I,TOTAL,THS_T,FR	7655 	7322 s	6989 	6348 s	5708 	5189 s	4669 	4268 s	3868 	3810 s	3753 	2792 s	2355 s
A,DSP_I,TOTAL,THS_T,HR	24 	12 s	0 b	0 s	0 	0 s	0 	0 s	0 	0 s	0 	0 s	0 s
A,DSP_I,TOTAL,THS_T,HU	75 	80 s	84 	86 s	88 	83 s	77 	78 s	79 	80 s	82 	81 s	81 s
A,DSP_I,TOTAL,THS_T,IE	43 	28 s	13 	13 s	13 	10 s	7 	8 s	9 	9 s	10 	5 s	4 s
